多,duō (many; how many)
大,dà (big; old)
十九,shí jiǔ (nineteen)
岁,suì (age)
二十,èr shí (twenty)
是,shì (to be)
哪,nǎ (which)
国,guó (country)
人,rén (person)
美国人,měi guó rén (american)
美国,měi guó (United States)
不,bù (not; no)
加拿大人,jiā ná dà rén (canadian) (r)
加拿大,jiā' ná dà (Canada) (r)
〇,líng (zero)
一,yī (one)
二,èr (two)
三,sān (three)
四,sì (four)
五,wǔ (five)
六,liù (six)
七,qī (seven)
八,bā (eight)
九,jiǔ (nine)
十,shí (ten)
一百, yì bǎi (100) (r)
国家,guò jiā (country) (r)
中国,zhōng guó (china) 
英国,yīng guó (U.K) (r)
法国,fǎ guó (france) (r)
德国,dé guó (germany)
日本,rìběn (japan) (r)
韩国,hánguó (korea) (r)
墨西哥,mòxīgē (mexico) (r)
西班牙,xībānyá (spain) (r)
