生日,shēngrì (birthday)
月,yuè (month)
号,hào (day; number)
今天,jīntiān (today)
今,jīn (today; now)
天,tiān (day; sky; heaven)
还是,háishì (or)
明天,míngtiān (tomorrow)
生日派对,shēngrìpàiduì (birthday party)
派对,pàiduì (party)
生日快乐,shēngrì kuàilè (happy birthday)
快乐,kuàilè (happy; happiness)
都,dōu (both; all)
了,le (indicates change of state or action completion)
真,zhēn (really, truly)
高兴,gāoxìng (pleased; happy)
大家,dàjiā (everyone)
吃,chī (to eat)
蛋糕,dàngāo (cake)
送,sòng (to give (as a gift))
礼物,lǐwù (present)
祝,zhù (to wish)
日,rì (day)
年,nián (year)
昨天,zuótiān (yesterday)
