客厅,kètīng (living room)
沙发,shāfā (sofa) (r)
下面,xiàmian (under; below)
下,xià (under; below; down)
马上,mǎshàng (immediately, right away)
回,huí (to return)
拿,ná (to hold; to get; to take)
这儿,zhèr (here) (regional usage in Northern China)
这里,zhèli (here)
得,de  (indicates the potential to achieve an action or goal)
房间,fángjiān (room)
厕所,cèsuǒ (toilet; bathroom) (r)
桌子,zhuōzi (table)
张,zhāng (used for tables, desks, and flat surfaces)
洗手间,xǐshǒujiān (restroom) (r)
厨房,chúfáng (kitchen) (r)
间,jiān (measure word used for rooms)
椅子,yǐzi (chair) (r)
书架,shūjià (bookshelf) (r)
衣柜,yīguì (wardrobe) (r)
窗户,chuānghu (window) (r)
喂,wéi; wèi (hello?) (r)
宿舍,sùshè (dormitory)
电视,diànshì (television)
有事吗?,yǒu shì ma? (what's up?)
事,shì (thing; matter)
找到,zhǎo dào (to find)
找,zhǎo (to look for)
到,dào (indicates completion or arrival at a goal)
课本,kèběn (textbook)
帮,bāng (to help) (r)
卧室,wòshì (bedroom) (r)
里面,lǐmian (inside, within)
里,lǐ (in)
可能,kěnéng (maybe, possible; possible)
床,chuáng (bed)
那儿,nàr (there) (regional use in northern China)
那里,nàli (there)
书桌,shūzhuō (desk)
上,shàng (up; on)
就,jiù (indicates precision or earliness of action)
上面,shàngmian (on top of)
外面,wàimian (outside)
