商店,shāngdiàn  (store; shop)
卖,mài  (to sell)
东西,dōngxi  (thing)
衣服,yīfu  (clothing)
文具,wénjù  (stationary) (r)
电子用品,diànzǐ yòngpǐn  (electronic device) (r)
用品,yòngpǐn  (product; goods)
得,děi  (must)
买,mǎi  (to buy)
手机,shǒujī (cellular phone) (r)
想,xiǎng  (to miss [someone or something])
打电话,dǎ diànhuà  (to make a phone call)
打,dǎ  (to hit; strike)
电话,diànhuà  (telephone)
多少钱,duōshao qián  (how much is it)
多少,duōshao  (how much; how many)
钱,qián  (money)
百,bǎi  (hundred)
块,kuài  (Chinese dollar)
毛,máo (1/10 of a kuai)
贵,guì  (expensive)
不好意思,bù hǎoyìsi  (sorry for the inconvenience, excuse me)
价钱,jiàqián  (price)
这样吧,zhèyàng ba  (how about this)
讲价,jiǎng jià  (to haggle; to bargain)
讲,jiǎng  (to speak, to say)
便宜,piányi  (cheap)
算了,suàn le  (forget it) 
还是,háishì  (had better; should) 
别的,bié de  (other) 
千,qiān  (thousand) 
万,wàn  (ten thousand)
元,yuán  (the Chinese dollar)
分,fēn  (1/100 of a kuai)
人民币,Rénmínbì  (RMB) (r)
售货员,shòuhuòyuán  (salesperson) (r)
一共,yígòng (altogether)
付钱,fù qián  (to pay money)
写信,xiě xìn  (to write a letter)
怎么卖,zěnme mài  (how much does it cost?)
购物中心,gòuwù zhōngxīn  (shopping center) (r)
百货公司,bǎihuò gōngsī  (department store) (rn)
美元,Měiyuán (the American dollar)
电脑,diànnǎo (computer) (r)
