已经,yǐjīng (already)
再,zaì (again)
功课,gōngkè  (homework)
所以,suǒyǐ (so; therefore)
这么,zhème (so [indicates degree])
不用,bú yòng (no need)
担心,dān xīn (worry)
要是。。。（的话）,yàoshi...(de huà) (if)
项链,xiàngliàn (necklace) (r)
付,fù (to pay)
现金,xiànjīn (cash)
刷卡,shuā kǎ (to pay with credit card)
花,huā (to spend [money, time, effort])
没问题,méi wèntí (no problem)
如果,rúguǒ (if [more formal])
银行,yínháng (bank)
收,shōu (to accept; to receive [money])
找,zhǎo (to give change)
钱包,qiánbāo (wallet)
信用卡,xìnyòngkǎ (credit card)
下（个）星期,xià (ge) xīngqī (next week)
货币,huòbì (currency) (r)
支票,zhīpiào (check) (r)
发票,fāpiào (receipt) (r)
收据,shōujù (receipt) (r)
