舒服,shūfu (comfortable; feeling well)
生病,shēngbìng (to get sick)
天天,tiāntiān (every day)
睡不着,shuìbuzháo (to be unable to sleep)
肚子,dùzi (stomach)
疼,téng (painful, sore)
头,tóu (head)
天气,tiānqì (weather)
冷,lěng (cold)
热,rè (hot (as in temperature))
保重,bǎozhòng (to take care (of oneself)) (r)
身体,shēntǐ (body)
眼睛,yǎnjing (eyes)
鼻子,bízi (nose) (r)
最好,zuìhǎo (had better)
看病,kànbìng (to see a doctor)
下雨,xià yǔ (to rain)
下雪,xià xuě (to snow)
中医,zhōngyī ((doctor of) Traditional Chinese Medicine)
西医,xīyī ((doctor of) Westerm Medicine)
手,shǒu (hand)
脚,jiǎo (foot)
春天,chūntiān (spring)
夏天,xiàtiān (summer)
秋天,qiūtiān (autumn)
冬天,dōngtiān (winter)
还好,hái hǎo (not bad; OK; so-so)
晴天,qíngtiān (clear day, sunny day)
阴天,yīntiān (cloudy day)
纽约,niǔyuē (New York) (r)
老家,lǎojiā (hometown)
季节,jìjié (season) (r)
一般,yìbān (generally)
暖和,nuǎnhuo (comfortably warm) (r)
温度,wēndù (temperature) (r)
度,dù (degree) (r)
风,fēng (wind or breeze) (r)
凉快,liángkuai (comfortably cool) (r)
低,dī (low) (r)
