公司,gōngsī (company)
实习,shíxí (to intern; to have an internship)
简历,jiǎnlì (resume; curriculum vitae) (r)
背景,bèijǐng (background) (r)
学历,xuélì (educational background)
经历,jīnglì (experience)
极了,jíle (extremely)
想要,xiǎngyào (want; wish; would like)
机会,jīhuì (opportunity)
毕业,bìyè (to graduate)
商务,shāngwù (business) (r)
有关,yǒuguān (to be relevant; to be about; to do with)
关系,guānxi (relation; relationship; connection)
外国,wàiguó (foreign; foreign country)
人才,réncái (a person of ability or talent)
成功,chénggōng (to succeed; success)
当,dāng (to serve as, to be (a profession))
经验,jīngyàn (experience) (r)
做生意,zuò shēngyì (to do business)
翻译,fānyì (to translate; translation; translator) (r)
工程师,gōngchéngshī (engineer) (r)
申请,shēnqǐng (to apply) (r)
发申请,fā shēnqǐng (to send an application) (r)
商务管理,shāngwùguǎnlǐ (business administration) (r)
办（开）公司,bàn/kāi gōngsī (to open a company) (r)
专业知识,zhuānyèzhīshi (technical knowledge) (r)
满意的,mǎnyìde (satisfying) (r)
