装饰 (zhuāngshì),to decorate; decoration (r)
过 (guò),to spend (a holiday, occasion)
春节 (Chūnjié),Spring Festival
传统 (chuántǒng),traditional; custom
习惯 (xíguàn),habit; to be used to
着 (zhe),(added to verb/adjective to indicate a continued state)
恭喜发财 (gōngxǐfācái),wishing happiness, prosperity (r)
伯父 (bófù),uncle (polite term of a man in parents' generation)
伯母 (bómǔ),aunt (polite term of a woman in parents' generation)
新年 (xīnnián),new year
红包 (hóngbāo),red envelope
学业 (xuéyè),studies; academics
万事如意 (wànshìrúyì),wishing you all the best (r)
健康 (jiànkāng),healthy; health
糖果 (tángguǒ),candy
年糕 (niángāo),New Year's rice cake
瓜子 (guāzǐ),melon seeds (r)
花灯 (huādēng),festive/decorative lantern
元宵节 (Yuánxiāojié),Lantern Festival (r)
挂 (guà),to hang
放 (fàng),to set off
烟火 (yānhuǒ),fireworks (r)
热闹 (rènao),lively (r)
除夕 (Chúxī),(Chinese) New Year's Eve (r)
正月 (zhēngyuè),first month of lunar year (r)
主要的 （zhǔyàode),main (r)
-----------
端午节 （duānwǔjié),Dragon Boat festival (r)
中秋节 （zhōngqiūjié),Mid-Autumn Festival (r)
农历 （nónglì),Chinese calendar (r)
圆月夜 (yuányuèyè),full moon night (r)
汤圆儿 （tāngyuánr),rice dumplings (r)
纪念 （jìniān),to memorialize (r)
爱国诗人 （àiguóshīrén),patriotic poet (r)
粽子 （zòngzi),leaf-wrapped dumplings (r)
龙船 (lóngchuán),dragon boat (r)
秋季 (qiūjì),fall (r)
中间 (zhōngjiān),in the middle
月亮 （yuèliang),moon (r)
圆 (yuán),round (r)
团圆 （tuányuán),to get together (r)
日子 （rìzi),day
重要的 （zhòngyàode),important
月饼 （yuèbǐng),mooncake (r)
